"Statistic","Month","Age Group","Sex","Social Welfare Scheme","UNIT","VALUE"
"Persons on Live Register","1981M10","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1981M10","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1981M10","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1981M10","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1981M10","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1981M10","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1981M10","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1981M10","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1981M10","All ages","Both sexes","All classes","Number","129211"
"Persons on Live Register","1981M10","All ages","Both sexes","Jobseekers allowance applications","Number","60154"
"Persons on Live Register","1981M10","All ages","Both sexes","Jobseekers benefit claims","Number","64243"
"Persons on Live Register","1981M10","All ages","Both sexes","Other registrants","Number","4814"
"Persons on Live Register","1981M10","All ages","Male","All classes","Number","98886"
"Persons on Live Register","1981M10","All ages","Male","Jobseekers allowance applications","Number","52844"
"Persons on Live Register","1981M10","All ages","Male","Jobseekers benefit claims","Number","45223"
"Persons on Live Register","1981M10","All ages","Male","Other registrants","Number","819"
"Persons on Live Register","1981M10","All ages","Female","All classes","Number","30325"
"Persons on Live Register","1981M10","All ages","Female","Jobseekers allowance applications","Number","7310"
"Persons on Live Register","1981M10","All ages","Female","Jobseekers benefit claims","Number","19020"
"Persons on Live Register","1981M10","All ages","Female","Other registrants","Number","3995"
"Persons on Live Register","1981M11","Under 25 years","Both sexes","All classes","Number","36839"
"Persons on Live Register","1981M11","Under 25 years","Both sexes","Jobseekers allowance applications","Number","14551"
"Persons on Live Register","1981M11","Under 25 years","Both sexes","Jobseekers benefit claims","Number","21615"
"Persons on Live Register","1981M11","Under 25 years","Both sexes","Other registrants","Number","673"
"Persons on Live Register","1981M11","Under 25 years","Male","All classes","Number","24420"
"Persons on Live Register","1981M11","Under 25 years","Male","Jobseekers allowance applications","Number","10809"
"Persons on Live Register","1981M11","Under 25 years","Male","Jobseekers benefit claims","Number","13480"
"Persons on Live Register","1981M11","Under 25 years","Male","Other registrants","Number","131"
"Persons on Live Register","1981M11","Under 25 years","Female","All classes","Number","4284"
"Persons on Live Register","1981M11","Under 25 years","Female","Jobseekers allowance applications","Number","3742"
"Persons on Live Register","1981M11","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1981M11","Under 25 years","Female","Other registrants","Number","542"
"Persons on Live Register","1981M11","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1981M11","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1981M11","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1981M11","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1981M11","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1981M11","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1981M11","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1981M11","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1981M11","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1981M11","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1981M11","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1981M11","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1981M11","All ages","Both sexes","All classes","Number","133098"
"Persons on Live Register","1981M11","All ages","Both sexes","Jobseekers allowance applications","Number","61362"
"Persons on Live Register","1981M11","All ages","Both sexes","Jobseekers benefit claims","Number","66849"
"Persons on Live Register","1981M11","All ages","Both sexes","Other registrants","Number","4887"
"Persons on Live Register","1981M11","All ages","Male","All classes","Number","101915"
"Persons on Live Register","1981M11","All ages","Male","Jobseekers allowance applications","Number","54044"
"Persons on Live Register","1981M11","All ages","Male","Jobseekers benefit claims","Number","47047"
"Persons on Live Register","1981M11","All ages","Male","Other registrants","Number","824"
"Persons on Live Register","1981M11","All ages","Female","All classes","Number","31183"
"Persons on Live Register","1981M11","All ages","Female","Jobseekers allowance applications","Number","7318"
"Persons on Live Register","1981M11","All ages","Female","Jobseekers benefit claims","Number","19802"
"Persons on Live Register","1981M11","All ages","Female","Other registrants","Number","4063"
"Persons on Live Register","1981M12","Under 25 years","Both sexes","All classes","Number","39035"
"Persons on Live Register","1981M12","Under 25 years","Both sexes","Jobseekers allowance applications","Number","14980"
"Persons on Live Register","1981M12","Under 25 years","Both sexes","Jobseekers benefit claims","Number","23354"
"Persons on Live Register","1981M12","Under 25 years","Both sexes","Other registrants","Number","701"
"Persons on Live Register","1981M12","Under 25 years","Male","All classes","Number","26261"
"Persons on Live Register","1981M12","Under 25 years","Male","Jobseekers allowance applications","Number","11286"
"Persons on Live Register","1981M12","Under 25 years","Male","Jobseekers benefit claims","Number","14825"
"Persons on Live Register","1981M12","Under 25 years","Male","Other registrants","Number","150"
"Persons on Live Register","1981M12","Under 25 years","Female","All classes","Number","4245"
"Persons on Live Register","1981M12","Under 25 years","Female","Jobseekers allowance applications","Number","3694"
"Persons on Live Register","1981M12","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1981M12","Under 25 years","Female","Other registrants","Number","551"
"Persons on Live Register","1981M12","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1981M12","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1981M12","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1981M12","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1981M12","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1981M12","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1981M12","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1981M12","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1981M12","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1981M12","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1981M12","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1981M12","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1981M12","All ages","Both sexes","All classes","Number","141146"
"Persons on Live Register","1981M12","All ages","Both sexes","Jobseekers allowance applications","Number","63071"
"Persons on Live Register","1981M12","All ages","Both sexes","Jobseekers benefit claims","Number","72961"
"Persons on Live Register","1981M12","All ages","Both sexes","Other registrants","Number","5114"
"Persons on Live Register","1981M12","All ages","Male","All classes","Number","108215"
"Persons on Live Register","1981M12","All ages","Male","Jobseekers allowance applications","Number","55712"
"Persons on Live Register","1981M12","All ages","Male","Jobseekers benefit claims","Number","51658"
"Persons on Live Register","1981M12","All ages","Male","Other registrants","Number","845"
"Persons on Live Register","1981M12","All ages","Female","All classes","Number","32931"
"Persons on Live Register","1981M12","All ages","Female","Jobseekers allowance applications","Number","7359"
"Persons on Live Register","1981M12","All ages","Female","Jobseekers benefit claims","Number","21303"
"Persons on Live Register","1981M12","All ages","Female","Other registrants","Number","4269"
"Persons on Live Register","1982M01","Under 25 years","Both sexes","All classes","Number","41705"
"Persons on Live Register","1982M01","Under 25 years","Both sexes","Jobseekers allowance applications","Number","15700"
"Persons on Live Register","1982M01","Under 25 years","Both sexes","Jobseekers benefit claims","Number","25248"
"Persons on Live Register","1982M01","Under 25 years","Both sexes","Other registrants","Number","757"
"Persons on Live Register","1982M01","Under 25 years","Male","All classes","Number","28027"
"Persons on Live Register","1982M01","Under 25 years","Male","Jobseekers allowance applications","Number","11872"
"Persons on Live Register","1982M01","Under 25 years","Male","Jobseekers benefit claims","Number","15992"
"Persons on Live Register","1982M01","Under 25 years","Male","Other registrants","Number","163"
"Persons on Live Register","1982M01","Under 25 years","Female","All classes","Number","4422"
"Persons on Live Register","1982M01","Under 25 years","Female","Jobseekers allowance applications","Number","3828"
"Persons on Live Register","1982M01","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M01","Under 25 years","Female","Other registrants","Number","594"
"Persons on Live Register","1982M01","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1982M01","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M01","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M01","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1982M01","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1982M01","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M01","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M01","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1982M01","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1982M01","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M01","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M01","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1982M01","All ages","Both sexes","All classes","Number","146592"
"Persons on Live Register","1982M01","All ages","Both sexes","Jobseekers allowance applications","Number","65637"
"Persons on Live Register","1982M01","All ages","Both sexes","Jobseekers benefit claims","Number","76081"
"Persons on Live Register","1982M01","All ages","Both sexes","Other registrants","Number","4874"
"Persons on Live Register","1982M01","All ages","Male","All classes","Number","112810"
"Persons on Live Register","1982M01","All ages","Male","Jobseekers allowance applications","Number","57785"
"Persons on Live Register","1982M01","All ages","Male","Jobseekers benefit claims","Number","54167"
"Persons on Live Register","1982M01","All ages","Male","Other registrants","Number","858"
"Persons on Live Register","1982M01","All ages","Female","All classes","Number","33782"
"Persons on Live Register","1982M01","All ages","Female","Jobseekers allowance applications","Number","7852"
"Persons on Live Register","1982M01","All ages","Female","Jobseekers benefit claims","Number","21914"
"Persons on Live Register","1982M01","All ages","Female","Other registrants","Number","4016"
"Persons on Live Register","1982M02","Under 25 years","Both sexes","All classes","Number","41613"
"Persons on Live Register","1982M02","Under 25 years","Both sexes","Jobseekers allowance applications","Number","16268"
"Persons on Live Register","1982M02","Under 25 years","Both sexes","Jobseekers benefit claims","Number","24573"
"Persons on Live Register","1982M02","Under 25 years","Both sexes","Other registrants","Number","772"
"Persons on Live Register","1982M02","Under 25 years","Male","All classes","Number","28057"
"Persons on Live Register","1982M02","Under 25 years","Male","Jobseekers allowance applications","Number","12285"
"Persons on Live Register","1982M02","Under 25 years","Male","Jobseekers benefit claims","Number","15618"
"Persons on Live Register","1982M02","Under 25 years","Male","Other registrants","Number","154"
"Persons on Live Register","1982M02","Under 25 years","Female","All classes","Number","4601"
"Persons on Live Register","1982M02","Under 25 years","Female","Jobseekers allowance applications","Number","3983"
"Persons on Live Register","1982M02","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M02","Under 25 years","Female","Other registrants","Number","618"
"Persons on Live Register","1982M02","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1982M02","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M02","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M02","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1982M02","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1982M02","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M02","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M02","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1982M02","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1982M02","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M02","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M02","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1982M02","All ages","Both sexes","All classes","Number","145658"
"Persons on Live Register","1982M02","All ages","Both sexes","Jobseekers allowance applications","Number","66389"
"Persons on Live Register","1982M02","All ages","Both sexes","Jobseekers benefit claims","Number","74274"
"Persons on Live Register","1982M02","All ages","Both sexes","Other registrants","Number","4995"
"Persons on Live Register","1982M02","All ages","Male","All classes","Number","112019"
"Persons on Live Register","1982M02","All ages","Male","Jobseekers allowance applications","Number","58408"
"Persons on Live Register","1982M02","All ages","Male","Jobseekers benefit claims","Number","52739"
"Persons on Live Register","1982M02","All ages","Male","Other registrants","Number","872"
"Persons on Live Register","1982M02","All ages","Female","All classes","Number","33639"
"Persons on Live Register","1982M02","All ages","Female","Jobseekers allowance applications","Number","7981"
"Persons on Live Register","1982M02","All ages","Female","Jobseekers benefit claims","Number","21535"
"Persons on Live Register","1982M02","All ages","Female","Other registrants","Number","4123"
"Persons on Live Register","1982M03","Under 25 years","Both sexes","All classes","Number","42070"
"Persons on Live Register","1982M03","Under 25 years","Both sexes","Jobseekers allowance applications","Number","16187"
"Persons on Live Register","1982M03","Under 25 years","Both sexes","Jobseekers benefit claims","Number","25102"
"Persons on Live Register","1982M03","Under 25 years","Both sexes","Other registrants","Number","781"
"Persons on Live Register","1982M03","Under 25 years","Male","All classes","Number","27914"
"Persons on Live Register","1982M03","Under 25 years","Male","Jobseekers allowance applications","Number","12034"
"Persons on Live Register","1982M03","Under 25 years","Male","Jobseekers benefit claims","Number","15719"
"Persons on Live Register","1982M03","Under 25 years","Male","Other registrants","Number","161"
"Persons on Live Register","1982M03","Under 25 years","Female","All classes","Number","4773"
"Persons on Live Register","1982M03","Under 25 years","Female","Jobseekers allowance applications","Number","4153"
"Persons on Live Register","1982M03","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M03","Under 25 years","Female","Other registrants","Number","620"
"Persons on Live Register","1982M03","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1982M03","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M03","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M03","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1982M03","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1982M03","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M03","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M03","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1982M03","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1982M03","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M03","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M03","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1982M03","All ages","Both sexes","All classes","Number","148004"
"Persons on Live Register","1982M03","All ages","Both sexes","Jobseekers allowance applications","Number","67177"
"Persons on Live Register","1982M03","All ages","Both sexes","Jobseekers benefit claims","Number","75668"
"Persons on Live Register","1982M03","All ages","Both sexes","Other registrants","Number","5159"
"Persons on Live Register","1982M03","All ages","Male","All classes","Number","113577"
"Persons on Live Register","1982M03","All ages","Male","Jobseekers allowance applications","Number","59137"
"Persons on Live Register","1982M03","All ages","Male","Jobseekers benefit claims","Number","53498"
"Persons on Live Register","1982M03","All ages","Male","Other registrants","Number","942"
"Persons on Live Register","1982M03","All ages","Female","All classes","Number","34427"
"Persons on Live Register","1982M03","All ages","Female","Jobseekers allowance applications","Number","8040"
"Persons on Live Register","1982M03","All ages","Female","Jobseekers benefit claims","Number","22170"
"Persons on Live Register","1982M03","All ages","Female","Other registrants","Number","4217"
"Persons on Live Register","1982M04","Under 25 years","Both sexes","All classes","Number","42102"
"Persons on Live Register","1982M04","Under 25 years","Both sexes","Jobseekers allowance applications","Number","16616"
"Persons on Live Register","1982M04","Under 25 years","Both sexes","Jobseekers benefit claims","Number","24644"
"Persons on Live Register","1982M04","Under 25 years","Both sexes","Other registrants","Number","842"
"Persons on Live Register","1982M04","Under 25 years","Male","All classes","Number","27915"
"Persons on Live Register","1982M04","Under 25 years","Male","Jobseekers allowance applications","Number","12528"
"Persons on Live Register","1982M04","Under 25 years","Male","Jobseekers benefit claims","Number","15217"
"Persons on Live Register","1982M04","Under 25 years","Male","Other registrants","Number","170"
"Persons on Live Register","1982M04","Under 25 years","Female","All classes","Number","4760"
"Persons on Live Register","1982M04","Under 25 years","Female","Jobseekers allowance applications","Number","4088"
"Persons on Live Register","1982M04","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M04","Under 25 years","Female","Other registrants","Number","672"
"Persons on Live Register","1982M04","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1982M04","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M04","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M04","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1982M04","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1982M04","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M04","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M04","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1982M04","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1982M04","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M04","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M04","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1982M04","All ages","Both sexes","All classes","Number","148412"
"Persons on Live Register","1982M04","All ages","Both sexes","Jobseekers allowance applications","Number","68708"
"Persons on Live Register","1982M04","All ages","Both sexes","Jobseekers benefit claims","Number","74404"
"Persons on Live Register","1982M04","All ages","Both sexes","Other registrants","Number","5300"
"Persons on Live Register","1982M04","All ages","Male","All classes","Number","113157"
"Persons on Live Register","1982M04","All ages","Male","Jobseekers allowance applications","Number","60493"
"Persons on Live Register","1982M04","All ages","Male","Jobseekers benefit claims","Number","51736"
"Persons on Live Register","1982M04","All ages","Male","Other registrants","Number","928"
"Persons on Live Register","1982M04","All ages","Female","All classes","Number","35255"
"Persons on Live Register","1982M04","All ages","Female","Jobseekers allowance applications","Number","8215"
"Persons on Live Register","1982M04","All ages","Female","Jobseekers benefit claims","Number","22668"
"Persons on Live Register","1982M04","All ages","Female","Other registrants","Number","4372"
"Persons on Live Register","1982M05","Under 25 years","Both sexes","All classes","Number","41763"
"Persons on Live Register","1982M05","Under 25 years","Both sexes","Jobseekers allowance applications","Number","17057"
"Persons on Live Register","1982M05","Under 25 years","Both sexes","Jobseekers benefit claims","Number","23864"
"Persons on Live Register","1982M05","Under 25 years","Both sexes","Other registrants","Number","842"
"Persons on Live Register","1982M05","Under 25 years","Male","All classes","Number","27734"
"Persons on Live Register","1982M05","Under 25 years","Male","Jobseekers allowance applications","Number","12846"
"Persons on Live Register","1982M05","Under 25 years","Male","Jobseekers benefit claims","Number","14714"
"Persons on Live Register","1982M05","Under 25 years","Male","Other registrants","Number","174"
"Persons on Live Register","1982M05","Under 25 years","Female","All classes","Number","4879"
"Persons on Live Register","1982M05","Under 25 years","Female","Jobseekers allowance applications","Number","4211"
"Persons on Live Register","1982M05","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M05","Under 25 years","Female","Other registrants","Number","668"
"Persons on Live Register","1982M05","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1982M05","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M05","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M05","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1982M05","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1982M05","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M05","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M05","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1982M05","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1982M05","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M05","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M05","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1982M05","All ages","Both sexes","All classes","Number","147672"
"Persons on Live Register","1982M05","All ages","Both sexes","Jobseekers allowance applications","Number","70111"
"Persons on Live Register","1982M05","All ages","Both sexes","Jobseekers benefit claims","Number","72183"
"Persons on Live Register","1982M05","All ages","Both sexes","Other registrants","Number","5378"
"Persons on Live Register","1982M05","All ages","Male","All classes","Number","112819"
"Persons on Live Register","1982M05","All ages","Male","Jobseekers allowance applications","Number","61575"
"Persons on Live Register","1982M05","All ages","Male","Jobseekers benefit claims","Number","50320"
"Persons on Live Register","1982M05","All ages","Male","Other registrants","Number","924"
"Persons on Live Register","1982M05","All ages","Female","All classes","Number","34853"
"Persons on Live Register","1982M05","All ages","Female","Jobseekers allowance applications","Number","8536"
"Persons on Live Register","1982M05","All ages","Female","Jobseekers benefit claims","Number","21863"
"Persons on Live Register","1982M05","All ages","Female","Other registrants","Number","4454"
"Persons on Live Register","1982M06","Under 25 years","Both sexes","All classes","Number","43789"
"Persons on Live Register","1982M06","Under 25 years","Both sexes","Jobseekers allowance applications","Number","18736"
"Persons on Live Register","1982M06","Under 25 years","Both sexes","Jobseekers benefit claims","Number","24196"
"Persons on Live Register","1982M06","Under 25 years","Both sexes","Other registrants","Number","857"
"Persons on Live Register","1982M06","Under 25 years","Male","All classes","Number","28747"
"Persons on Live Register","1982M06","Under 25 years","Male","Jobseekers allowance applications","Number","13568"
"Persons on Live Register","1982M06","Under 25 years","Male","Jobseekers benefit claims","Number","15005"
"Persons on Live Register","1982M06","Under 25 years","Male","Other registrants","Number","174"
"Persons on Live Register","1982M06","Under 25 years","Female","All classes","Number","5851"
"Persons on Live Register","1982M06","Under 25 years","Female","Jobseekers allowance applications","Number","5168"
"Persons on Live Register","1982M06","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M06","Under 25 years","Female","Other registrants","Number","683"
"Persons on Live Register","1982M06","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1982M06","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M06","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M06","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1982M06","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1982M06","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M06","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M06","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1982M06","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1982M06","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M06","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M06","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1982M06","All ages","Both sexes","All classes","Number","150859"
"Persons on Live Register","1982M06","All ages","Both sexes","Jobseekers allowance applications","Number","72785"
"Persons on Live Register","1982M06","All ages","Both sexes","Jobseekers benefit claims","Number","72698"
"Persons on Live Register","1982M06","All ages","Both sexes","Other registrants","Number","5376"
"Persons on Live Register","1982M06","All ages","Male","All classes","Number","114614"
"Persons on Live Register","1982M06","All ages","Male","Jobseekers allowance applications","Number","63133"
"Persons on Live Register","1982M06","All ages","Male","Jobseekers benefit claims","Number","50553"
"Persons on Live Register","1982M06","All ages","Male","Other registrants","Number","928"
"Persons on Live Register","1982M06","All ages","Female","All classes","Number","36245"
"Persons on Live Register","1982M06","All ages","Female","Jobseekers allowance applications","Number","9652"
"Persons on Live Register","1982M06","All ages","Female","Jobseekers benefit claims","Number","22145"
"Persons on Live Register","1982M06","All ages","Female","Other registrants","Number","4448"
"Persons on Live Register","1982M07","Under 25 years","Both sexes","All classes","Number","47069"
"Persons on Live Register","1982M07","Under 25 years","Both sexes","Jobseekers allowance applications","Number","21406"
"Persons on Live Register","1982M07","Under 25 years","Both sexes","Jobseekers benefit claims","Number","24768"
"Persons on Live Register","1982M07","Under 25 years","Both sexes","Other registrants","Number","895"
"Persons on Live Register","1982M07","Under 25 years","Male","All classes","Number","30137"
"Persons on Live Register","1982M07","Under 25 years","Male","Jobseekers allowance applications","Number","14988"
"Persons on Live Register","1982M07","Under 25 years","Male","Jobseekers benefit claims","Number","14960"
"Persons on Live Register","1982M07","Under 25 years","Male","Other registrants","Number","189"
"Persons on Live Register","1982M07","Under 25 years","Female","All classes","Number","7124"
"Persons on Live Register","1982M07","Under 25 years","Female","Jobseekers allowance applications","Number","6418"
"Persons on Live Register","1982M07","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M07","Under 25 years","Female","Other registrants","Number","706"
"Persons on Live Register","1982M07","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1982M07","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M07","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M07","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1982M07","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1982M07","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M07","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M07","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1982M07","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1982M07","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1982M07","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1982M07","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1982M07","All ages","Both sexes","All classes","Number","156078"
"Persons on Live Register","1982M07","All ages","Both sexes","Jobseekers allowance applications","Number","76672"
"Persons on Live Register","1982M07","All ages","Both sexes","Jobseekers benefit claims","Number","73877"
"Persons on Live Register","1982M07","All ages","Both sexes","Other registrants","Number","5529"
"Persons on Live Register","1982M07","All ages","Male","All classes","Number","117336"
"Persons on Live Register","1982M07","All ages","Male","Jobseekers allowance applications","Number","65547"
"Persons on Live Register","1982M07","All ages","Male","Jobseekers benefit claims","Number","50832"
"Persons on Live Register","1982M07","All ages","Male","Other registrants","Number","957"
"Persons on Live Register","1982M07","All ages","Female","All classes","Number","38742"
"Persons on Live Register","1982M07","All ages","Female","Jobseekers allowance applications","Number","11125"
"Persons on Live Register","1982M07","All ages","Female","Jobseekers benefit claims","Number","23045"
"Persons on Live Register","1982M07","All ages","Female","Other registrants","Number","4572"
"Persons on Live Register","1982M08","Under 25 years","Both sexes","All classes","Number","48550"
"Persons on Live Register","1982M08","Under 25 years","Both sexes","Jobseekers allowance applications","Number","21788"
"Persons on Live Register","1982M08","Under 25 years","Both sexes","Jobseekers benefit claims","Number","25795"
"Persons on Live Register","1982M08","Under 25 years","Both sexes","Other registrants","Number","967"
"Persons on Live Register","1982M08","Under 25 years","Male","All classes","Number","31096"
"Persons on Live Register","1982M08","Under 25 years","Male","Jobseekers allowance applications","Number","15180"
"Persons on Live Register","1982M08","Under 25 years","Male","Jobseekers benefit claims","Number","15743"
"Persons on Live Register","1982M08","Under 25 years","Male","Other registrants","Number","173"
"Persons on Live Register","1982M08","Under 25 years","Female","All classes","Number","7402"
"Persons on Live Register","1982M08","Under 25 years","Female","Jobseekers allowance applications","Number","6608"
